policy,wave,allyDps,waveHp,dpsPerHp,cleared,seconds,livesLost,units,topTier
greedy,1,151.8,240.0,0.6323,1,19.0,0.00,2.4,4.0
greedy,2,358.5,379.1,0.9457,1,18.2,0.00,2.3,5.0
greedy,3,505.8,443.5,1.1403,1,18.1,0.00,3.8,5.0
greedy,4,828.5,647.1,1.2804,1,13.0,0.00,2.3,6.0
greedy,5,984.3,1094.4,0.8994,1,17.8,0.00,3.8,6.0
greedy,6,1222.8,1306.7,0.9358,1,24.1,0.00,3.5,6.0
greedy,7,1639.8,1528.8,1.0725,1,20.6,0.00,3.5,6.5
greedy,8,2077.8,1752.7,1.1854,1,20.1,0.00,2.5,7.0
greedy,9,2303.3,2387.8,0.9646,1,23.5,0.00,3.8,7.0
greedy,10,2538.3,3023.8,0.8394,1,23.4,0.00,4.6,7.0
greedy,11,2861.8,3845.5,0.7442,1,23.9,0.00,4.4,7.0
greedy,12,3102.3,4724.2,0.6567,1,26.7,0.00,4.6,7.0
greedy,13,3779.0,5527.3,0.6837,1,27.8,0.00,4.3,7.4
greedy,14,4773.5,6158.9,0.7751,1,26.3,0.00,2.9,8.0
greedy,15,5022.5,8467.0,0.5932,1,31.0,0.13,3.6,8.0
greedy,16,5390.8,8852.5,0.6090,1,30.0,0.00,3.4,8.0
greedy,17,5641.8,10357.5,0.5447,1,28.6,0.00,4.3,8.0
greedy,18,5873.3,11541.2,0.5089,1,29.6,0.00,5.1,8.0
greedy,19,6611.5,14853.5,0.4451,1,37.6,0.13,3.6,8.0
greedy,20,6883.8,19353.4,0.3557,1,39.6,0.25,4.5,8.0
greedy,21,7214.0,20979.9,0.3439,1,40.4,0.50,4.5,8.0
greedy,22,7501.8,24546.5,0.3056,1,28.5,0.63,4.8,8.0
greedy,23,7686.0,30490.6,0.2521,1,42.6,0.75,5.3,8.0
greedy,24,8183.5,34193.8,0.2393,0,36.5,0.75,5.5,8.0
greedy,25,9443.0,42431.3,0.2225,0,29.9,0.00,4.0,8.0
greedy,26,9767.0,50860.5,0.1920,0,41.6,0.50,4.5,8.0
greedy,27,10019.0,59506.7,0.1684,0,33.8,1.50,5.5,8.0
greedy,28,10498.0,66849.1,0.1570,0,20.4,1.00,6.0,8.0
hoarder,1,148.0,240.0,0.6167,1,17.8,0.00,2.0,4.0
hoarder,2,356.0,379.1,0.9391,1,18.8,0.00,2.0,5.0
hoarder,3,504.5,443.5,1.1375,1,17.9,0.00,3.6,5.0
hoarder,4,829.3,647.1,1.2816,1,13.5,0.00,2.0,6.0
hoarder,5,984.3,1094.4,0.8994,1,19.0,0.00,3.8,6.0
hoarder,6,1241.5,1306.7,0.9501,1,27.4,0.00,3.4,6.0
hoarder,7,1790.3,1528.8,1.1710,1,22.4,0.00,3.1,6.8
hoarder,8,2096.0,1752.7,1.1959,1,21.1,0.00,3.4,7.0
hoarder,9,2310.8,2387.8,0.9677,1,26.9,0.00,3.5,7.0
hoarder,10,2576.8,3023.8,0.8522,1,22.4,0.00,3.9,7.0
hoarder,11,2876.3,3845.5,0.7480,1,25.0,0.00,3.8,7.0
hoarder,12,3085.0,4724.2,0.6530,1,23.5,0.00,5.1,7.0
hoarder,13,3690.6,5527.3,0.6677,1,24.9,0.00,3.9,7.3
hoarder,14,4758.3,6158.9,0.7726,1,23.0,0.00,3.0,8.0
hoarder,15,5039.8,8467.0,0.5952,1,34.9,0.25,2.9,8.0
hoarder,16,5357.5,8852.5,0.6052,1,35.1,0.38,3.5,8.0
hoarder,17,5599.9,10357.5,0.5407,1,25.2,0.00,4.6,8.0
hoarder,18,5910.3,11541.2,0.5121,1,23.1,0.00,4.1,8.0
hoarder,19,6396.0,14853.5,0.4306,1,31.4,0.14,4.3,8.0
hoarder,20,6760.3,19353.4,0.3493,1,30.8,0.43,4.0,8.0
hoarder,21,7048.3,20979.9,0.3360,1,36.9,0.14,4.6,8.0
hoarder,22,7395.7,24546.5,0.3013,1,36.9,0.71,4.6,8.0
hoarder,23,7605.3,30490.6,0.2494,1,34.4,0.33,5.8,8.0
hoarder,24,8579.5,34193.8,0.2509,0,30.4,0.50,3.8,8.0
hoarder,25,9421.3,42431.3,0.2220,0,37.4,0.67,3.7,8.0
hoarder,26,9824.0,50860.5,0.1932,0,37.8,1.00,4.5,8.0
hoarder,27,10142.0,59506.7,0.1704,0,26.3,1.00,6.0,8.0
sloppy,1,131.8,240.0,0.5490,1,19.7,0.00,3.1,3.4
sloppy,2,280.0,379.1,0.7386,1,18.8,0.00,4.5,3.8
sloppy,3,435.5,443.5,0.9819,1,17.8,0.00,6.5,4.0
sloppy,4,562.3,647.1,0.8689,1,13.9,0.00,8.5,4.1
sloppy,5,713.0,1094.4,0.6515,1,17.3,0.00,9.5,4.3
sloppy,6,1108.5,1306.7,0.8483,1,34.7,0.00,4.5,5.5
sloppy,7,1393.1,1528.8,0.9112,1,23.6,0.00,5.4,5.9
sloppy,8,1785.3,1752.7,1.0186,1,32.8,0.50,5.8,6.5
sloppy,9,2221.8,2387.8,0.9305,1,50.0,0.13,4.0,6.8
sloppy,10,2453.7,3023.8,0.8115,1,24.7,0.00,4.6,6.9
sloppy,11,2841.3,3845.5,0.7389,1,30.9,0.29,4.6,7.0
sloppy,12,3104.1,4724.2,0.6571,1,28.2,0.00,4.3,7.0
sloppy,13,3350.4,5527.3,0.6062,1,32.4,0.00,5.3,7.0
sloppy,14,4272.7,6158.9,0.6937,1,26.7,0.00,5.1,7.6
